Time(s),X(m),Y(m),Yaw(deg)
18.2609,2.6362,3.8472,191.9939
18.3612,2.5816,3.7753,193.7185
18.4615,2.5293,3.7017,195.4431
18.5619,2.4792,3.6265,197.1678
18.6622,2.4314,3.5499,198.8924
18.7625,2.3859,3.4719,200.6170
18.8629,2.3428,3.3926,202.3416
18.9632,2.3021,3.3120,204.0662
19.0635,2.2638,3.2302,205.7909
19.1639,2.2281,3.1473,207.5155
19.2642,2.1948,3.0634,209.2401
19.3645,2.1640,2.9785,210.9647
19.4649,2.1359,2.8927,212.6894
19.5652,2.1103,2.8061,214.4140
19.6656,2.0874,2.7187,216.1386
19.7659,2.0671,2.6307,217.8632
19.8662,2.0494,2.5422,219.5878
19.9666,2.0344,2.4531,221.3125
20.0669,1.9966,2.4234,221.8873
20.1672,1.9464,2.4234,221.8873
20.2676,1.8962,2.4234,221.8873
20.3679,1.8461,2.4234,221.8873
20.4682,1.7959,2.4234,221.8873
20.5686,1.7457,2.4234,221.8873
20.6689,1.6956,2.4234,221.8873
20.7692,1.6454,2.4234,221.8873
20.8696,1.5952,2.4234,221.8873
20.9699,1.5451,2.4234,221.8873
21.0702,1.4949,2.4234,221.8873
21.1706,1.4447,2.4234,221.8873
21.2709,1.3946,2.4234,221.8873
21.3712,1.3444,2.4234,221.8873
21.4716,1.2942,2.4234,221.8873
21.5719,1.2441,2.4234,221.8873
21.6722,1.1939,2.4234,221.8873
21.7726,1.1437,2.4234,221.8873
21.8729,1.0936,2.4234,221.8873
21.9732,1.0434,2.4234,221.8873
22.0736,0.9932,2.4234,221.8873
22.1739,0.9431,2.4234,221.8873
22.2742,0.8929,2.4234,221.8873
22.3746,0.8427,2.4234,221.8873
22.4749,0.7926,2.4234,221.8873
22.5753,0.7424,2.4234,221.8873
22.6756,0.6922,2.4234,221.8873
22.7759,0.6421,2.4234,221.8873
22.8763,0.5919,2.4234,221.8873
22.9766,0.5417,2.4234,221.8873
23.0769,0.4916,2.4234,221.8873
23.1773,0.4414,2.4234,221.8873
23.2776,0.3912,2.4234,221.8873
23.3779,0.3411,2.4234,221.8873
23.4783,0.2909,2.4234,221.8873
23.5786,0.2407,2.4234,221.8873
23.6789,0.1906,2.4234,221.8873
23.7793,0.1404,2.4234,221.8873
23.8796,0.0902,2.4234,221.8873
23.9799,0.0401,2.4234,221.8873
24.0803,-0.0101,2.4234,221.8873
24.1806,-0.0603,2.4234,221.8873
24.2809,-0.1104,2.4234,221.8873
24.3813,-0.1606,2.4234,221.8873
24.4816,-0.2108,2.4234,221.8873
24.5819,-0.2609,2.4234,221.8873
24.6823,-0.3111,2.4234,221.8873
24.7826,-0.3613,2.4234,221.8873
24.8829,-0.4114,2.4234,221.8873
24.9833,-0.4616,2.4234,221.8873
25.0836,-0.5118,2.4234,221.8873
25.1839,-0.5620,2.4234,221.8873
25.2843,-0.6121,2.4234,221.8873
25.3846,-0.6623,2.4234,221.8873
25.4849,-0.7125,2.4234,221.8873
25.5853,-0.7626,2.4234,221.8873
25.6856,-0.8128,2.4234,221.8873
25.7860,-0.8630,2.4234,221.8873
25.8863,-0.9131,2.4234,221.8873
25.9866,-0.9633,2.4234,221.8873
26.0870,-1.0135,2.4234,221.8873
26.1873,-1.0636,2.4234,221.8873
26.2876,-1.1138,2.4234,221.8873
26.3880,-1.1640,2.4234,221.8873
26.4883,-1.2141,2.4234,221.8873
26.5886,-1.2643,2.4234,221.8873
26.6890,-1.3145,2.4234,221.8873
26.7893,-1.3646,2.4234,221.8873
26.8896,-1.4148,2.4234,221.8873
26.9900,-1.4650,2.4234,221.8873
27.0903,-1.5151,2.4234,221.8873
27.1906,-1.5653,2.4234,221.8873
27.2910,-1.6155,2.4234,221.8873
27.3913,-1.6656,2.4234,221.8873
27.4916,-1.7158,2.4234,221.8873
27.5920,-1.7660,2.4234,221.8873
27.6923,-1.8161,2.4234,221.8873
27.7926,-1.8663,2.4234,221.8873
27.8930,-1.9165,2.4234,221.8873
27.9933,-1.9666,2.4234,221.8873
28.0936,-2.0168,2.4234,221.8873
28.1940,-2.0670,2.4234,221.8873
28.2943,-2.1171,2.4234,221.8873
28.3946,-2.1673,2.4234,221.8873
28.4950,-2.2175,2.4234,221.8873
28.5953,-2.2676,2.4234,221.8873
28.6957,-2.3178,2.4234,221.8873
28.7960,-2.3680,2.4234,221.8873
28.8963,-2.4181,2.4234,221.8873
28.9967,-2.4683,2.4234,221.8873
29.0970,-2.5185,2.4234,221.8873
29.1973,-2.5686,2.4234,221.8873
29.2977,-2.6188,2.4234,221.8873
29.3980,-2.6690,2.4234,221.8873
29.4983,-2.7191,2.4234,221.8873
29.5987,-2.7693,2.4234,221.8873
29.6990,-2.8195,2.4234,221.8873
29.7993,-2.8696,2.4234,221.8873
29.8997,-2.9198,2.4234,221.8873
30.0000,-2.9700,2.4234,221.8873
